"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Корзина","1","0","Получение корзины","0"
"0","","0","Авторизация","1","0","Успешный логин","0"
"0","","0","Товары","3","0","Получение товара по ID","0"
"0","","0","Авторизация","1","0","Пустые поля","0"
"0","","0","Корзина","1","0","Создание корзины","0"
"0","","0","Авторизация","1","0","Неверные учётные данные","0"
"0","","0","Авторизация","1","0","SQL-инъекция","0"
"0","","0","Товары","1","0","Получение всех товаров","0"
"0","","0","Корзина","1","0","Удаление корзины","0"
